Date,Open,High,Low,Close,Adj Close,Volume
02-12-2021,723.900024,735.700012,714.150024,732.549988,732.549988,11507427
03-12-2021,730,734.650024,716.299988,718.349976,718.349976,11024093
06-12-2021,718,721.900024,693.849976,697.599976,697.599976,8804487
07-12-2021,702.349976,705.700012,694.099976,698.849976,698.849976,10238693
08-12-2021,705,719,702.299988,715.150024,715.150024,8296393
09-12-2021,716.799988,723.950012,711,713.950012,713.950012,9069515
10-12-2021,711,718.900024,707,710.700012,710.700012,4251339
13-12-2021,715,718.400024,698.349976,703.099976,703.099976,9896899
14-12-2021,701,706.299988,688.400024,691.599976,691.599976,9275631
15-12-2021,691.75,694.900024,684.099976,685.450012,685.450012,7674319
16-12-2021,689.900024,689.900024,677.599976,681.400024,681.400024,9633006
17-12-2021,681,685.700012,661.099976,666.049988,666.049988,13850460
20-12-2021,659.150024,661.150024,645.099976,658.25,658.25,11812939
21-12-2021,663.950012,670.900024,659.200012,667,667,8084499
22-12-2021,667,686,667,684.75,684.75,8522226
23-12-2021,689,689,675.5,678.75,678.75,5602466
24-12-2021,682.099976,682.849976,672.650024,677.049988,677.049988,3756020
27-12-2021,674.950012,678.349976,668.650024,675.75,675.75,3658572
28-12-2021,679.849976,683.5,675.049988,680.049988,680.049988,3892590
29-12-2021,679.950012,683.5,675,676.849976,676.849976,3847574
30-12-2021,677.5,685.799988,674.200012,679.349976,679.349976,5701612
31-12-2021,680.5,694.099976,680,683.799988,683.799988,4598628
03-01-2022,687.799988,692.599976,683.099976,691.299988,691.299988,2939833
04-01-2022,692.25,703.25,690.400024,697.450012,697.450012,6473875
05-01-2022,700.900024,702.75,691.75,700,700,4586105
06-01-2022,702,720.5,700,710.400024,710.400024,21642414
07-01-2022,713.900024,715.150024,701.450012,704.700012,704.700012,4315015
10-01-2022,705.400024,711.349976,703.650024,704.950012,704.950012,3565324
11-01-2022,703,709.549988,694.599976,703.450012,703.450012,10642484
12-01-2022,707.950012,732.700012,704.200012,730.200012,730.200012,12366953
13-01-2022,729,735.650024,726.150024,731.799988,731.799988,5829874
14-01-2022,729.950012,730.900024,718.450012,720.599976,720.599976,5344096
17-01-2022,720,734.75,719.549988,728.599976,728.599976,4340924
18-01-2022,727,730.700012,712.549988,714.349976,714.349976,4312058
19-01-2022,714,715,701.700012,703.700012,703.700012,5879490
20-01-2022,706,719.650024,705.25,715.400024,715.400024,4812496
21-01-2022,709.599976,714,689.349976,695.25,695.25,6704622
24-01-2022,690.299988,707,677.349976,689.900024,689.900024,11091633
25-01-2022,684,720.450012,682.150024,711.849976,711.849976,14128764
27-01-2022,706.5,716,701.5,707.25,707.25,8937312
28-01-2022,714.900024,754,701.650024,715.799988,715.799988,21450677
31-01-2022,728,735,719.549988,729.299988,729.299988,10745370
01-02-2022,733,735,718.299988,723.049988,723.049988,4814511
02-02-2022,726.099976,731.75,720.5,725.049988,725.049988,3286577
03-02-2022,726,729,718.5,721.650024,721.650024,3651578
04-02-2022,721.099976,723.25,716.5,720.200012,720.200012,3284198
07-02-2022,718,720.099976,699.5,706.5,706.5,6833983
08-02-2022,711.200012,714.700012,701,708.900024,708.900024,7167684
09-02-2022,707.099976,726.099976,702.150024,719.349976,719.349976,10185173
10-02-2022,722.950012,726.950012,708.599976,724.049988,724.049988,6074014
11-02-2022,721.700012,725.400024,710.900024,715.150024,715.150024,5646980
14-02-2022,704,704,685,689.700012,689.700012,7441445
15-02-2022,696,713.099976,686.599976,711.549988,711.549988,4650249
16-02-2022,717.400024,728.200012,708,721.799988,721.799988,5433910
17-02-2022,724.450012,727.5,715,717,717,5107708
18-02-2022,712.049988,719.549988,711.349976,712.549988,712.549988,4099366
21-02-2022,708.049988,716.549988,703,709.950012,709.950012,4307430
22-02-2022,694.200012,702.5,687.5,699.25,699.25,9148804
23-02-2022,700.099976,708.950012,699.5,704.400024,704.400024,4124469
24-02-2022,682,688.549988,645.450012,670.900024,670.900024,14139461
25-02-2022,677.5,695.150024,677.5,688.650024,688.650024,6452099
28-02-2022,681,690,666.450012,686.5,686.5,8301523
